,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
0,B00155QIRT,中国建设银行(钦州北路支行),121.412452,31.182204,徐汇区,[],3.5,金融保险服务;银行;中国建设银行,31.18613590497409,121.42359856404421,13515572.332602607,3656434.4778965316
1,B00155QIRW,中国农业银行(钦州北路支行),121.412695,31.182265,徐汇区,[],3.5,金融保险服务;银行;中国农业银行,31.18619585341051,121.42384178062755,13515599.383238869,3656442.415116596
2,B0GRDRJGTY,平安银行(上海田林支行),121.4136,31.182503000000004,徐汇区,[],3.5,金融保险服务;银行;平安银行,31.1864297676792,121.42474762641942,13515700.127378037,3656473.383335586
3,B00155QIRV,中国建设银行24小时自助银行(上海钦州北路支行),121.412398,31.182283,徐汇区,[],[],金融保险服务;自动提款机;中国建设银行ATM,31.1862136733553,121.42354491225647,13515566.321350103,3656444.7572480845
4,B00155QIRX,中国农业银行24小时自助银行(钦州北路支行),121.412838,31.182190999999996,徐汇区,[],[],金融保险服务;自动提款机;中国农业银行ATM,31.186122973950823,121.42398443714042,13515615.30192605,3656432.78635849
5,B0015782MI,中国工商银行(桂林路支行),121.414624,31.177324,徐汇区,[],3.0,金融保险服务;银行;中国工商银行,31.181337642969986,121.42574788831102,13515814.11853661,3655799.51685987
6,B00156F2UH,上海银行(桂林路支行),121.413698,31.177134000000002,徐汇区,[],2.0,金融保险服务;银行;上海银行,31.181151402370876,121.42482115554856,13515711.036688134,3655774.795678097
7,B0G3AK70TW,荣晟小贷,121.41356100000002,31.182494000000002,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.186420923957066,121.4247085955521,13515695.785917899,3656472.212267067
8,B0FFH0RFTU,中国平安人寿保险股份有限公司(上海徐汇钦江路营销服务部),121.40585300000001,31.178818,徐汇区,[],3.5,金融保险服务;保险公司;中国平安保险公司,31.182807841007087,121.41698552751232,13514837.735282864,3655993.905144019
9,B0HD2CE7PW,汇付天下,121.413393,31.179376,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.18335426775232,121.42452678013281,13515677.084243443,3656066.5087838476
10,B0FFG4ZL5W,兴业银行(上海漕河泾支行),121.414225,31.177242,徐汇区,[],3.0,金融保险服务;银行;兴业银行,31.18125726735391,121.42534857290858,13515769.702059783,3655788.847712179
11,B0FFI64XPK,融义财富,121.413023,31.177918,徐汇区,[],3.0,金融保险服务;金融保险服务机构;金融保险机构,31.18192174677671,121.42415002476953,13515635.89603185,3655876.8034007265
12,B0FFKMSN3P,上海意元投资管理咨询有限公司,121.411426,31.179127,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.183110224268,121.42255898953832,13515458.118805053,3656034.1103325593
13,B0FFGY7SGL,磁金融,121.41301499999999,31.177914,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.181917820204372,121.4241420072853,13515635.005475922,3655876.2829510192
14,B0G2CLAEUK,恒天财富,121.41400800000001,31.178673,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.182663156084963,121.42513839643308,13515745.545730283,3655975.0386768295
15,B0FFHGN2QM,平安人寿有限公司,121.40585300000001,31.178818,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.182807841007087,121.41698552751232,13514837.735282864,3655993.905144019
16,B0FFF5VFNS,中国工商银行24小时自助银行(桂林路支行),121.414472,31.177304,徐汇区,[],3.0,金融保险服务;自动提款机;中国工商银行ATM,31.181318062034443,121.42559582217199,13515797.19797401,3655796.9146278724
17,B00156F32S,广发银行24小时自助银行(漕河泾支行),121.413094,31.177016,徐汇区,[],3.0,金融保险服务;自动提款机;广发银行ATM,31.181035738899507,121.42421670210855,13515643.799715696,3655759.442548074
18,B0FFM3I65V,鼎鼎保险代理有限公司上海分公司,121.41306200000001,31.177453000000003,徐汇区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.18146496091577,121.4241868034086,13515640.237491991,3655816.3012694493
19,B00156F49U,上海银行24小时自助银行(桂林路支行),121.413794,31.177145,徐汇区,[],[],金融保险服务;自动提款机;上海银行ATM,31.181162168695938,121.42491719011693,13515721.723359251,3655776.226903059
20,B0FFGHD1G2,中国平安保险(集团)股份有限公司,121.405854,31.178817,徐汇区,[],[],金融保险服务;保险公司;中国平安保险公司,31.182806858185597,121.4169865226727,13514837.846602352,3655993.775030353
21,B0FFH20E6L,东方证券(徐汇区宜山路证券营业部),121.41301200000001,31.176971999999996,徐汇区,[],[],金融保险服务;证券公司;证券公司,31.180992556150105,121.42413450568768,13515634.671517452,3655753.717657028
22,B0FFF2WEB3,中国太平洋保险(集团)股份有限公司,121.409204,31.187626,闵行区,[],4.5,金融保险服务;保险公司;中国太平洋保险,31.191481648405205,121.42037215655138,13515210.76689651,3657139.999630594
23,B00155IULR,中国光大银行(古北支行),121.408658,31.193368,长宁区,[],4.0,金融保险服务;银行;中国光大银行,31.19716547434978,121.4198424750293,13515149.986454537,3657887.2044835873
24,B001513634,中国工商银行(张虹支行),121.40866399999999,31.193341999999998,长宁区,[],3.0,金融保险服务;银行;中国工商银行,31.197139673655375,121.41984841679121,13515150.654371481,3657883.8210086874
25,B00155GRLW,中国工商银行24小时自助银行(张虹支行),121.408662,31.193381,长宁区,[],3.0,金融保险服务;自动提款机;中国工商银行ATM,31.197178373284636,121.41984650287453,13515150.431732502,3657888.8962213853
26,B0FFJWF27X,中国太平洋财产保险股份有限公司(上海市市西支公司),121.409233,31.187561,闵行区,[],[],金融保险服务;保险公司;中国太平洋保险,31.19141745129885,121.42040092927745,13515213.995161742,3657131.5414582663
27,B0FFGHC0CX,上海聚佑投资管理发展有限公司,121.41168700000001,31.193788,徐汇区,[],3.0,金融保险服务;金融保险服务机构;金融保险机构,31.19758146308598,121.42287184403249,13515487.17319215,3657941.8607453764
28,B0FFIL75Z9,东方财富证券,121.408052,31.193331,长宁区,[],3.5,金融保险服务;证券公司;证券营业厅,31.197128896477533,121.41923649862404,13515082.526843116,3657882.3895388185
29,B0H6DS8LC2,太平洋产险上海分公司,121.40920600000001,31.187625,闵行区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.191480660346546,121.42037415278968,13515210.989535494,3657139.8695048206
30,B0FFG8GH5T,太平洋车险,121.409236,31.187537,闵行区,[],[],金融保险服务;保险公司;中国太平洋保险,31.191393750458115,121.42040384650556,13515214.329120217,3657128.4184422577
31,B00156NWL0,中国人寿财产保险股份有限公司,121.409401,31.189075,徐汇区,[],3.0,金融保险服务;保险公司;中国人寿保险公司,31.192913361342097,121.42057386446592,13515232.696836196,3657328.5533186323
32,B00155QWHH,中国建设银行(上海华灵路支行),121.405845,31.281097999999997,宝山区,[],3.5,金融保险服务;银行;中国建设银行,31.285458582008175,121.41690319759164,13514836.844726937,3669309.130919559
33,B00155CDKO,中国银行(大华支行),121.406896,31.279117,宝山区,[],2.0,金融保险服务;银行;中国银行,31.283507498136387,121.41794588523017,13514953.84151176,3669051.0993149136
34,B00156O4UM,上海农商银行(大华分理处),121.41168799999998,31.285252000000003,宝山区,[],4.5,金融保险服务;银行;上海农商银行,31.28954179046061,121.422763862712,13515487.284511637,3669850.2203452303
35,B00155CDKP,中国银行ATM,121.406893,31.279159000000003,宝山区,[],3.5,金融保险服务;自动提款机;中国银行ATM,31.283548884866118,121.41794305195042,13514953.507553287,3669056.5698934044
36,B0FFMF730I,方正证券上海行知路营业部,121.408993,31.285346,宝山区,[],4.5,金融保险服务;证券公司;证券营业厅,31.28963489162461,121.4200697838825,13515187.278483953,3669862.4648208464
37,B0H6UCT32B,方正证券,121.408914,31.285344,宝山区,[],[],金融保险服务;证券公司;证券营业厅,31.289632945493523,121.41999078822047,13515178.484244179,3669862.2042999617
38,B00155NB1H,中国建设银行24小时自助银行(华灵路支行),121.405891,31.281102,宝山区,[],3.5,金融保险服务;自动提款机;中国建设银行ATM,31.28546251246771,121.41694920663255,13514841.965423513,3669309.6519378764
39,B00155FN36,中国邮政储蓄银行ATM(大华营业所),121.40696100000001,31.279614000000002,宝山区,[],[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,31.283997154586096,121.4180128584838,13514961.077278662,3669115.834649865
40,B0G3L7IQDL,中泰证券,121.406425,31.281181,宝山区,[],3.5,金融保险服务;证券公司;证券公司,31.28554018612167,121.41748345037536,13514901.410031596,3669319.94205411
41,B00156O4Y8,中国工商银行(行知路支行),121.411324,31.285411,宝山区,[],4.0,金融保险服务;银行;中国工商银行,31.28969810959344,121.42240067911983,13515446.76421699,3669870.9317526096
42,B00156O2NS,中国邮政储蓄银行(大华营业所),121.406999,31.279669000000002,宝山区,[],4.5,金融保险服务;银行;中国邮政储蓄银行,31.284051327320146,121.41805107388382,13514965.307419311,3669122.9985408974
43,B00156O0B1,中国农业银行(上海真华路支行),121.406402,31.278252000000002,宝山区,[],3.0,金融保险服务;银行;中国农业银行,31.28265497485344,121.41744861115613,13514898.849683309,3668938.4319901527
44,B0FFHB4IUA,润一财富行知分公司,121.41076100000001,31.285666,宝山区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.289948778072787,121.42183898837355,13515384.091343675,3669904.1482335986
45,B00156O4GB,中国工商银行24小时自助银行(行知路支行),121.411501,31.285413000000002,宝山区,[],[],金融保险服务;自动提款机;中国工商银行ATM,31.289700019034505,121.42257765673176,13515466.467766862,3669871.1922736843
46,B0FFKNSYUY,中泰证券上海真华路证券营业部,121.40625,31.280734999999996,宝山区,[],[],金融保险服务;证券公司;证券营业厅,31.285101200698648,121.41730659483196,13514881.929120708,3669261.8485995294
47,B00156O0HJ,中国农业银行24小时自助银行(真华路支行),121.406379,31.278233,宝山区,[],[],金融保险服务;自动提款机;中国农业银行ATM,31.28263624536428,121.41742554272557,13514896.28933502,3668935.957228143
48,B00156O4NT,上海农商银行24小时自助银行(大华分理处),121.411891,31.2852,宝山区,[],3.0,金融保险服务;自动提款机;上海农商银行ATM,31.289490637084118,121.42296658085696,13515509.88236827,3669843.446810772
